epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.447,1.59426,2.95879,1.81886,0.37566,0.37348,0.3173,0.15738,1.74093,2.28798,2.12622,0.000332586,0.000332586,0.000332586
2,347.212,1.5186,2.62308,1.7709,0.43131,0.40297,0.36293,0.16947,1.69617,2.2455,2.08207,0.000652734,0.000652734,0.000652734
3,516.732,1.49632,2.57521,1.75459,0.4677,0.39635,0.40485,0.19985,1.69251,2.22482,2.08597,0.000959682,0.000959682,0.000959682
4,685.845,1.46758,2.51633,1.73719,0.52082,0.49888,0.47415,0.22936,1.71604,2.01897,2.04197,0.0009406,0.0009406,0.0009406
5,851.527,1.43503,2.45294,1.71672,0.55686,0.45874,0.45853,0.23516,1.69041,2.0347,2.12154,0.0009208,0.0009208,0.0009208
6,1011.92,1.39583,2.37705,1.69302,0.6153,0.50792,0.53313,0.28785,1.56456,1.87013,1.93139,0.000901,0.000901,0.000901
7,1173.6,1.37574,2.34367,1.67935,0.62278,0.52329,0.56436,0.2881,1.59892,1.85316,1.97615,0.0008812,0.0008812,0.0008812
8,1332.7,1.36352,2.30078,1.66443,0.62759,0.55205,0.59942,0.33866,1.44188,1.67695,1.82534,0.0008614,0.0008614,0.0008614
9,1494.28,1.32945,2.2358,1.64277,0.67383,0.55796,0.61899,0.3345,1.46391,1.61642,1.83877,0.0008416,0.0008416,0.0008416
10,1653.24,1.33148,2.22104,1.64283,0.64615,0.5421,0.58231,0.33087,1.46832,1.74951,1.86021,0.0008218,0.0008218,0.0008218
11,1810.29,1.30739,2.17161,1.62132,0.65909,0.63001,0.65248,0.37978,1.40232,1.4945,1.76947,0.000802,0.000802,0.000802
12,1971.62,1.29822,2.14815,1.61759,0.67243,0.59646,0.65745,0.3652,1.47373,1.53195,1.85841,0.0007822,0.0007822,0.0007822
13,2128.84,1.28363,2.1303,1.61011,0.67684,0.62833,0.68091,0.38033,1.40293,1.53546,1.77756,0.0007624,0.0007624,0.0007624
14,2285.66,1.26991,2.08881,1.59715,0.66456,0.6491,0.68859,0.41141,1.39021,1.42481,1.73395,0.0007426,0.0007426,0.0007426
15,2442.65,1.25917,2.05752,1.58427,0.7229,0.62962,0.69616,0.4045,1.39345,1.43849,1.76785,0.0007228,0.0007228,0.0007228
16,2599.81,1.25691,2.04516,1.58236,0.69106,0.67418,0.71631,0.42387,1.31563,1.41103,1.66858,0.000703,0.000703,0.000703
17,2756.83,1.23383,2.01441,1.56844,0.70969,0.66722,0.73477,0.45603,1.28574,1.2642,1.64505,0.0006832,0.0006832,0.0006832
18,2915.99,1.23142,1.99815,1.56281,0.71752,0.66489,0.72163,0.44818,1.29105,1.33398,1.6728,0.0006634,0.0006634,0.0006634
19,3075.21,1.22852,1.9885,1.56397,0.74607,0.68351,0.7465,0.45799,1.27042,1.30476,1.65386,0.0006436,0.0006436,0.0006436
20,3233.41,1.22906,1.97233,1.56065,0.73447,0.66137,0.73587,0.44785,1.27477,1.38703,1.65007,0.0006238,0.0006238,0.0006238
21,3391.05,1.22068,1.94237,1.54929,0.7317,0.69123,0.75798,0.47133,1.25002,1.29687,1.61378,0.000604,0.000604,0.000604
22,3550.32,1.20984,1.93202,1.54759,0.77445,0.7163,0.79164,0.50053,1.20768,1.12882,1.58556,0.0005842,0.0005842,0.0005842
23,3708.72,1.20459,1.91595,1.54342,0.77165,0.70801,0.78602,0.47965,1.26372,1.219,1.62831,0.0005644,0.0005644,0.0005644
24,3866.77,1.19267,1.89368,1.52849,0.75458,0.71267,0.77685,0.48973,1.20766,1.16005,1.58974,0.0005446,0.0005446,0.0005446
25,4025.71,1.18327,1.86265,1.51708,0.76214,0.70885,0.78816,0.49508,1.21227,1.2009,1.58562,0.0005248,0.0005248,0.0005248
26,4181.56,1.17486,1.84168,1.51281,0.77371,0.72804,0.79173,0.50708,1.22204,1.1281,1.58545,0.000505,0.000505,0.000505
27,4340.12,1.16825,1.85141,1.50881,0.75418,0.71921,0.78707,0.49713,1.19413,1.18255,1.55828,0.0004852,0.0004852,0.0004852
28,4497.17,1.16142,1.82443,1.50133,0.77231,0.72863,0.80447,0.51036,1.22587,1.08578,1.59057,0.0004654,0.0004654,0.0004654
29,4655.11,1.15554,1.81459,1.49872,0.75606,0.73461,0.80865,0.52248,1.17654,1.14783,1.55102,0.0004456,0.0004456,0.0004456
30,4813.88,1.15816,1.80372,1.49746,0.79696,0.75341,0.82389,0.52824,1.1829,1.11258,1.54931,0.0004258,0.0004258,0.0004258
31,4969.78,1.14592,1.78759,1.48789,0.76388,0.72425,0.80186,0.5135,1.15968,1.19521,1.52615,0.000406,0.000406,0.000406
32,5126.8,1.14305,1.77436,1.48396,0.76231,0.71936,0.79321,0.51922,1.1569,1.20716,1.52664,0.0003862,0.0003862,0.0003862
33,5285.08,1.13368,1.76354,1.48138,0.79226,0.76492,0.83211,0.54198,1.13888,1.06427,1.51156,0.0003664,0.0003664,0.0003664
34,5445.77,1.12481,1.74037,1.47337,0.78766,0.77712,0.83898,0.55669,1.1081,1.01247,1.48026,0.0003466,0.0003466,0.0003466
35,5604.5,1.12448,1.73805,1.47087,0.77478,0.71957,0.80268,0.52487,1.13764,1.15393,1.52086,0.0003268,0.0003268,0.0003268
36,5760.86,1.10986,1.70683,1.45841,0.82044,0.77115,0.84419,0.56602,1.1047,0.97083,1.49266,0.000307,0.000307,0.000307
37,5921.58,1.1108,1.70329,1.45657,0.81517,0.77312,0.8496,0.56704,1.11436,0.97536,1.49439,0.0002872,0.0002872,0.0002872
38,6080.53,1.10885,1.69595,1.45725,0.77913,0.75401,0.83077,0.55113,1.11468,1.01992,1.48586,0.0002674,0.0002674,0.0002674
39,6240.15,1.0942,1.67949,1.44804,0.80733,0.77206,0.84481,0.56639,1.08742,0.97379,1.47089,0.0002476,0.0002476,0.0002476
40,6398.6,1.1005,1.67852,1.44989,0.79762,0.76578,0.8384,0.56113,1.09229,1.02088,1.47782,0.0002278,0.0002278,0.0002278
41,6554.29,1.13764,1.5521,1.50295,0.81794,0.7804,0.84824,0.56663,1.11121,0.99153,1.48716,0.000208,0.000208,0.000208
42,6703.47,1.11306,1.48881,1.48033,0.82867,0.79143,0.86777,0.58903,1.0866,0.91103,1.45597,0.0001882,0.0001882,0.0001882
43,6856.01,1.10562,1.46975,1.47446,0.81232,0.81479,0.86857,0.58522,1.08864,0.927,1.47355,0.0001684,0.0001684,0.0001684
44,7007.82,1.0955,1.43988,1.4635,0.84516,0.79139,0.87003,0.59101,1.0833,0.90385,1.46375,0.0001486,0.0001486,0.0001486
45,7158.11,1.08396,1.42458,1.45801,0.81527,0.77819,0.84722,0.57826,1.08231,0.93154,1.46668,0.0001288,0.0001288,0.0001288
46,7308.12,1.08116,1.4153,1.45321,0.81232,0.79462,0.86131,0.58669,1.07732,0.93178,1.45912,0.000109,0.000109,0.000109
47,7459.35,1.08034,1.40762,1.4501,0.81848,0.80276,0.85988,0.58427,1.08627,0.93053,1.46665,8.92e-05,8.92e-05,8.92e-05
48,7610.01,1.06426,1.38156,1.43802,0.81183,0.78851,0.85367,0.58282,1.07736,0.9442,1.45265,6.94e-05,6.94e-05,6.94e-05
49,7759.04,1.05584,1.37239,1.4354,0.80001,0.79553,0.84692,0.57897,1.07575,0.95423,1.45097,4.96e-05,4.96e-05,4.96e-05
50,7907.32,1.0589,1.36741,1.43189,0.81145,0.79193,0.85125,0.5842,1.06457,0.93997,1.44552,2.98e-05,2.98e-05,2.98e-05
