epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1401,1.82682,3.01234,1.77471,0.57337,0.24087,0.22194,0.10073,1.80887,2.59945,1.98168,0.000411036,0.000411036,0.000411036
2,57.0378,1.72651,2.26463,1.66692,0.29475,0.22062,0.15406,0.06638,2.33628,2.86942,2.3599,0.000811314,0.000811314,0.000811314
3,84.5626,1.75336,2.12335,1.6623,0.36332,0.40559,0.31907,0.13688,1.93736,2.78581,2.06003,0.00119509,0.00119509,0.00119509
4,112.389,1.76598,2.05519,1.70554,0.26427,0.39893,0.30029,0.11941,2.0865,2.04553,1.99826,0.00117575,0.00117575,0.00117575
5,139.017,1.72476,1.92889,1.65648,0.52625,0.39737,0.4223,0.17817,1.83937,2.14204,1.79656,0.001151,0.001151,0.001151
6,166.383,1.70961,1.82149,1.6384,0.46218,0.42381,0.38253,0.1769,1.80533,2.06359,1.90586,0.00112625,0.00112625,0.00112625
7,192.477,1.65035,1.72959,1.62028,0.62647,0.54348,0.57113,0.26854,1.75089,1.59114,1.74683,0.0011015,0.0011015,0.0011015
8,219.286,1.69363,1.79778,1.63971,0.64447,0.54479,0.60119,0.26572,1.74896,1.55975,1.76288,0.00107675,0.00107675,0.00107675
9,245.702,1.62547,1.55401,1.56425,0.558,0.52821,0.55963,0.26329,1.7342,1.53672,1.72419,0.001052,0.001052,0.001052
10,272.338,1.61192,1.60399,1.57152,0.60966,0.6138,0.6195,0.31858,1.69013,1.41312,1.74275,0.00102725,0.00102725,0.00102725
11,299.749,1.58542,1.5182,1.56483,0.69921,0.60339,0.65843,0.32941,1.67971,1.31621,1.70115,0.0010025,0.0010025,0.0010025
12,327.224,1.57634,1.48311,1.5594,0.63155,0.62008,0.63726,0.32701,1.69114,1.44369,1.70107,0.00097775,0.00097775,0.00097775
13,354.409,1.57797,1.4642,1.54175,0.71686,0.66547,0.70836,0.35599,1.63223,1.26996,1.652,0.000953,0.000953,0.000953
14,381.978,1.54082,1.39328,1.52617,0.58797,0.62061,0.6371,0.31085,1.66762,1.32234,1.70878,0.00092825,0.00092825,0.00092825
15,409.014,1.49673,1.36246,1.49986,0.6735,0.69094,0.69793,0.3702,1.55104,1.18192,1.63812,0.0009035,0.0009035,0.0009035
16,436.106,1.51853,1.33785,1.50201,0.65059,0.64174,0.69072,0.36592,1.55894,1.18658,1.60291,0.00087875,0.00087875,0.00087875
17,463.115,1.50108,1.32685,1.48748,0.66756,0.71684,0.71834,0.37411,1.62693,1.1464,1.64627,0.000854,0.000854,0.000854
18,490.196,1.47009,1.30423,1.4764,0.75961,0.70216,0.72338,0.39124,1.53869,1.09833,1.59796,0.00082925,0.00082925,0.00082925
19,517.207,1.4614,1.26644,1.4562,0.69306,0.71109,0.72373,0.38716,1.53259,1.11602,1.58463,0.0008045,0.0008045,0.0008045
20,544.2,1.44381,1.19638,1.45784,0.69768,0.72125,0.74187,0.39105,1.52747,1.11669,1.58488,0.00077975,0.00077975,0.00077975
21,571.017,1.4095,1.20939,1.42424,0.70455,0.70394,0.72379,0.39278,1.50929,1.08385,1.5539,0.000755,0.000755,0.000755
22,597.654,1.43529,1.19946,1.45709,0.66774,0.711,0.71175,0.3897,1.48838,1.09006,1.54101,0.00073025,0.00073025,0.00073025
23,623.55,1.40218,1.17185,1.4261,0.69233,0.70333,0.72842,0.41136,1.48093,1.10635,1.5262,0.0007055,0.0007055,0.0007055
24,650.46,1.40588,1.17715,1.43745,0.6799,0.74229,0.75015,0.41822,1.48453,1.01659,1.5504,0.00068075,0.00068075,0.00068075
25,677.089,1.38195,1.12933,1.40661,0.73319,0.74777,0.78455,0.42613,1.51427,1.01559,1.55449,0.000656,0.000656,0.000656
26,704.12,1.35599,1.14673,1.4022,0.66328,0.74956,0.74612,0.40991,1.44759,0.99908,1.51906,0.00063125,0.00063125,0.00063125
27,730.988,1.34993,1.09391,1.39237,0.67829,0.78584,0.77703,0.43393,1.44955,0.96213,1.51116,0.0006065,0.0006065,0.0006065
28,757.953,1.32316,1.09337,1.39247,0.74695,0.71676,0.77589,0.44145,1.46601,0.98539,1.52304,0.00058175,0.00058175,0.00058175
29,784.963,1.32267,1.06277,1.38042,0.77749,0.681,0.76513,0.43967,1.43066,1.00046,1.51383,0.000557,0.000557,0.000557
30,811.944,1.32475,1.08549,1.36952,0.75649,0.72009,0.77746,0.43863,1.43262,0.98149,1.49211,0.00053225,0.00053225,0.00053225
31,838.583,1.30475,1.03936,1.35612,0.76041,0.70922,0.79709,0.45357,1.40658,0.93557,1.48538,0.0005075,0.0005075,0.0005075
32,866.061,1.29709,1.03175,1.36681,0.78905,0.73547,0.81018,0.46054,1.39875,0.91353,1.48076,0.00048275,0.00048275,0.00048275
33,893.315,1.30767,1.06478,1.36083,0.73959,0.77271,0.79059,0.45504,1.37849,0.91072,1.45063,0.000458,0.000458,0.000458
34,919.867,1.28374,1.00542,1.36275,0.77994,0.74278,0.7943,0.45669,1.39855,0.89441,1.45674,0.00043325,0.00043325,0.00043325
35,946.306,1.24362,0.98417,1.32314,0.75822,0.76767,0.80305,0.47014,1.37653,0.8935,1.45559,0.0004085,0.0004085,0.0004085
36,973.204,1.24465,0.98011,1.33633,0.76053,0.78684,0.8134,0.47751,1.37772,0.87586,1.4691,0.00038375,0.00038375,0.00038375
37,999.92,1.24296,0.96252,1.32457,0.71885,0.81727,0.81482,0.4736,1.39673,0.89273,1.4732,0.000359,0.000359,0.000359
38,1025.84,1.21925,0.96339,1.31459,0.78174,0.75067,0.80952,0.48497,1.33843,0.87586,1.43454,0.00033425,0.00033425,0.00033425
39,1052.9,1.22301,0.93888,1.31958,0.73729,0.80401,0.81571,0.48032,1.34799,0.8727,1.44366,0.0003095,0.0003095,0.0003095
40,1079.03,1.21891,0.93669,1.31462,0.76973,0.80193,0.83352,0.49688,1.35098,0.85709,1.43048,0.00028475,0.00028475,0.00028475
41,1108.29,1.17316,0.824,1.34345,0.74776,0.80394,0.8217,0.49472,1.32854,0.85725,1.42457,0.00026,0.00026,0.00026
42,1133.43,1.14391,0.81189,1.32188,0.76104,0.81708,0.83153,0.49603,1.32069,0.83197,1.41997,0.00023525,0.00023525,0.00023525
43,1159.19,1.1247,0.78985,1.30832,0.73944,0.8119,0.83091,0.49529,1.34091,0.84189,1.43603,0.0002105,0.0002105,0.0002105
44,1184.78,1.09049,0.73949,1.28049,0.77047,0.79565,0.81714,0.48798,1.31514,0.82493,1.43123,0.00018575,0.00018575,0.00018575
45,1210.61,1.06275,0.73367,1.27815,0.75869,0.80504,0.82711,0.50016,1.32525,0.83077,1.43585,0.000161,0.000161,0.000161
46,1236.37,1.06303,0.7302,1.28125,0.76481,0.8157,0.83012,0.50137,1.32147,0.81866,1.43089,0.00013625,0.00013625,0.00013625
47,1261.39,1.04507,0.7183,1.2574,0.74348,0.79582,0.82313,0.49796,1.2929,0.81889,1.41232,0.0001115,0.0001115,0.0001115
48,1286.76,1.03625,0.70043,1.24109,0.77381,0.79368,0.82493,0.5066,1.29365,0.81643,1.4125,8.675e-05,8.675e-05,8.675e-05
49,1312.86,1.03273,0.71196,1.25511,0.75642,0.79764,0.8232,0.51024,1.28562,0.81712,1.40913,6.2e-05,6.2e-05,6.2e-05
50,1339.12,1.02813,0.70946,1.24622,0.77306,0.80204,0.83289,0.51276,1.28369,0.81047,1.40749,3.725e-05,3.725e-05,3.725e-05
